scheme_code,isin_div,isin_reinvest,scheme_name,nav,date,amc,source
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,108.1729,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,118.2028,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,105.3277,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,151.9228,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,113.9681,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,103.2527,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.7464,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,104.3818,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,369.8702,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,555.2256,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,383.9507,2025-07-21,Aditya Birla Sun Life Mutual Fund,AMFI
128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2017-06-14,Axis Mutual Fund,AMFI
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,2025-07-21,Axis Mutual Fund,AMFI
120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2739.9659,2025-07-21,Axis Mutual Fund,AMFI
