Date,Price,Open,High,Low,Volume,Chg%
01-01-2014,29542,29435.0,29598.0,29340.0,2930.0,0.25
02-01-2014,29975,29678.0,30050.0,29678.0,3140.0,1.47
03-01-2014,29727,30031.0,30125.0,29539.0,3050.0,-0.83
04-01-2014,29279,29279.0,29279.0,29279.0,0.0,-1.51
06-01-2014,29119,29300.0,29395.0,29051.0,24380.0,-0.55
07-01-2014,28959,29130.0,29195.0,28912.0,18710.0,-0.55
08-01-2014,28934,28916.0,29029.0,28820.0,18140.0,-0.09
09-01-2014,28997,28990.0,29053.0,28865.0,15130.0,0.22
10-01-2014,29169,29030.0,29198.0,28960.0,15810.0,0.59
13-01-2014,29312,29170.0,29330.0,29133.0,13780.0,0.49
14-01-2014,29198,29289.0,29390.0,29155.0,10600.0,-0.39
15-01-2014,29150,29161.0,29180.0,29002.0,13980.0,-0.16
16-01-2014,29168,29165.0,29250.0,29090.0,12580.0,0.06
17-01-2014,29385,29132.0,29415.0,29054.0,17640.0,0.74
20-01-2014,29414,29410.0,29499.0,29392.0,9440.0,0.1
21-01-2014,29362,29392.0,29411.0,29256.0,18210.0,-0.18
22-01-2014,29269,29354.0,29426.0,29234.0,14900.0,-0.32
23-01-2014,29394,29230.0,29468.0,29116.0,30840.0,0.43
24-01-2014,29574,29399.0,29696.0,29345.0,20390.0,0.61
27-01-2014,29905,29682.0,29929.0,29682.0,22120.0,1.12
28-01-2014,29628,29871.0,29871.0,29586.0,18130.0,-0.93
29-01-2014,29835,29570.0,29890.0,29479.0,18140.0,0.7
30-01-2014,29499,29849.0,29913.0,29470.0,15910.0,-1.13
31-01-2014,29482,29481.0,29679.0,29355.0,15200.0,-0.06
03-02-2014,29789,29502.0,29850.0,29402.0,11760.0,1.04
04-02-2014,29534,29722.0,29821.0,29520.0,3160.0,-0.86
05-02-2014,29719,29515.0,30100.0,29515.0,4490.0,0.63
06-02-2014,29231,29273.0,29448.0,29211.0,18560.0,-1.64
07-02-2014,29310,29259.0,29440.0,29259.0,14620.0,0.27
10-02-2014,29471,29349.0,29549.0,29349.0,11910.0,0.55
11-02-2014,29670,29500.0,29700.0,29500.0,14740.0,0.68
12-02-2014,29698,29650.0,29724.0,29580.0,10770.0,0.09
13-02-2014,29726,29660.0,29748.0,29605.0,12470.0,0.09
14-02-2014,29932,29750.0,29949.0,29750.0,11850.0,0.69
17-02-2014,30664,29978.0,30731.0,29970.0,27800.0,2.45
18-02-2014,30766,30600.0,30790.0,30511.0,18180.0,0.33
19-02-2014,30712,30686.0,30865.0,30405.0,20720.0,-0.18
20-02-2014,30608,30680.0,30680.0,30507.0,12460.0,-0.34
21-02-2014,30677,30590.0,30749.0,30522.0,12330.0,0.23
24-02-2014,30927,30633.0,30975.0,30633.0,12900.0,0.81
25-02-2014,30972,30929.0,30999.0,30817.0,12760.0,0.15
26-02-2014,30810,30951.0,30969.0,30677.0,14740.0,-0.52
27-02-2014,30839,30884.0,30917.0,30788.0,4410.0,0.09
28-02-2014,30634,30820.0,30895.0,30567.0,16200.0,-0.66
03-03-2014,32051,30700.0,32279.0,30700.0,5670.0,4.63
04-03-2014,31126,31500.0,32379.0,31090.0,1310.0,-2.89
05-03-2014,32351,31200.0,32500.0,30770.0,1490.0,3.94
06-03-2014,30416,30350.0,30446.0,30105.0,21500.0,-5.98
07-03-2014,30307,30361.0,30514.0,30130.0,19380.0,-0.36
10-03-2014,30327,30253.0,30350.0,30145.0,13500.0,0.07
11-03-2014,30421,30301.0,30515.0,30166.0,23170.0,0.31
12-03-2014,30627,30468.0,30690.0,30468.0,19020.0,0.68
13-03-2014,30697,30677.0,30735.0,30492.0,15380.0,0.23
14-03-2014,30719,30730.0,30849.0,30610.0,19040.0,0.07
17-03-2014,30557,30699.0,30710.0,30525.0,5190.0,-0.53
18-03-2014,30389,30511.0,30511.0,30311.0,15940.0,-0.55
19-03-2014,30169,30392.0,30416.0,30122.0,13680.0,-0.72
20-03-2014,29924,30110.0,30168.0,29885.0,14010.0,-0.81
21-03-2014,29850,29893.0,30038.0,29817.0,11960.0,-0.25
24-03-2014,29182,29810.0,29810.0,29141.0,18000.0,-2.24
25-03-2014,28971,29230.0,29317.0,28931.0,20330.0,-0.72
26-03-2014,28595,29020.0,29043.0,28335.0,16650.0,-1.3
27-03-2014,28521,28631.0,28740.0,28351.0,17230.0,-0.26
28-03-2014,28434,28488.0,28630.0,28213.0,18090.0,-0.31
31-03-2014,28470,28427.0,28778.0,28340.0,12650.0,0.13
01-04-2014,28116,28432.0,28507.0,28058.0,8840.0,-1.24
02-04-2014,28404,28035.0,28470.0,27361.0,480.0,1.02
03-04-2014,28460,28500.0,28699.0,28365.0,110.0,0.2
04-04-2014,28519,28400.0,28885.0,28400.0,190.0,0.21
05-04-2014,28549,28549.0,28549.0,28549.0,0.0,0.11
07-04-2014,28574,28599.0,28643.0,28481.0,10450.0,0.09
08-04-2014,28754,28639.0,28842.0,28639.0,5740.0,0.63
09-04-2014,28710,28754.0,28856.0,28653.0,12120.0,-0.15
10-04-2014,29094,28757.0,29119.0,28757.0,13700.0,1.34
11-04-2014,29085,29090.0,29162.0,28973.0,10530.0,-0.03
14-04-2014,29350,29095.0,29371.0,29095.0,6090.0,0.91
15-04-2014,29342,29287.0,29395.0,29059.0,21410.0,-0.03
16-04-2014,29290,29280.0,29320.0,28900.0,16580.0,-0.18
17-04-2014,29293,29256.0,29386.0,29185.0,10460.0,0.01
19-04-2014,29339,29339.0,29339.0,29339.0,0.0,0.16
21-04-2014,29548,29207.0,29599.0,29072.0,13860.0,0.71
22-04-2014,29423,29550.0,29649.0,29381.0,11700.0,-0.42
23-04-2014,29752,29480.0,29775.0,29433.0,9860.0,1.12
25-04-2014,29741,29750.0,29939.0,29650.0,10180.0,-0.04
27-04-2014,29695,29695.0,29695.0,29695.0,0.0,-0.15
28-04-2014,29824,29895.0,29900.0,29756.0,6680.0,0.43
29-04-2014,29713,29786.0,29799.0,29607.0,6760.0,-0.37
30-04-2014,31014,29602.0,31495.0,29571.0,12250.0,4.38
01-05-2014,30380,31033.0,31743.0,29914.0,2850.0,-2.04
02-05-2014,30182,30388.0,30440.0,30080.0,930.0,-0.65
05-05-2014,29967,30211.0,30347.0,29834.0,1040.0,-0.71
06-05-2014,29109,29187.0,29231.0,29081.0,9330.0,-2.86
07-05-2014,28747,29164.0,29275.0,28725.0,15480.0,-1.24
08-05-2014,28734,28787.0,28846.0,28665.0,9560.0,-0.05
09-05-2014,28741,28677.0,28877.0,28673.0,10090.0,0.02
12-05-2014,28860,28732.0,29025.0,28575.0,14220.0,0.41
13-05-2014,28673,28787.0,28874.0,28633.0,12740.0,-0.65
14-05-2014,28911,28769.0,28960.0,28769.0,7410.0,0.83
